"","SignedMonth","SignedQuarter","Quarter","Fiscal.Year","SinceFirstFiscalYear","PlatformPortfolio.AnD","SubCustomer.component","ATLpolicy","Obligation.2014","MovingAverage"
"3641",2008-07-01,2008-09-30,"Q4",2008-09-30,1.75068493150685,"Facilities and Construction","Military
Health","YOUNG",-9.77609544468546e-06,2.05297541576283e-06
"3642",2008-06-01,2008-06-30,"Q3",2008-09-30,1.66849315068493,"Facilities and Construction","Military
Health","YOUNG",-0.000194027754880694,-6.62860267534346e-05
"3643",2013-04-01,2013-06-30,"Q3",2013-09-30,6.5041095890411,"Facilities and Construction","Military
Health","YOUNG",4.01289732913578e-06,-6.65969843320813e-05
"3644",2008-09-01,2008-09-30,"Q4",2008-09-30,1.92054794520548,"Facilities and Construction","Military
Health","YOUNG",1.22017353579176e-05,-5.92710407312136e-05
"3645",2008-11-01,2008-12-31,"Q1",2009-04-26,2.08767123287671,"Facilities and Construction","Military
Health","YOUNG",0,5.40487756235112e-06
"3646",2009-02-01,2009-03-31,"Q2",2009-04-26,2.33972602739726,"Facilities and Construction","Military
Health","YOUNG",3.74117233167352e-05,1.65378195582176e-05
"3647",2009-01-01,2009-03-31,"Q2",2009-04-26,2.25479452054795,"Facilities and Construction","Military
Health","YOUNG",0,1.24705744389117e-05
"3648",2009-04-01,2009-06-30,"Q3",2009-04-26,2.5013698630137,"Facilities and Construction","Military
Health","YOUNG",1.16908421736307e-05,1.6367521830122e-05
"3649",2009-08-01,2009-09-30,"Q4",2009-09-30,2.83561643835616,"Facilities and Construction","Military
Health","YOUNG",0,3.89694739121022e-06
"3650",2009-09-01,2009-09-30,"Q4",2009-09-30,2.92054794520548,"Facilities and Construction","Military
Health","YOUNG",1.21779605975319e-05,7.95626759038753e-06
"3651",2010-01-01,2010-03-31,"Q2",2010-09-30,3.25479452054795,"Facilities and Construction","Military
Health","YOUNG",-8.81998288403937e-06,1.11932590449752e-06
"3652",2010-02-01,2010-03-31,"Q2",2010-09-30,3.33972602739726,"Facilities and Construction","Military
Health","YOUNG",-3.23491655969191e-06,4.10203846002172e-08
"3653",2008-12-01,2008-12-31,"Q1",2009-04-26,2.16986301369863,"Facilities and Construction","Military
Health","YOUNG",0.000205490365880061,6.44784888121098e-05
"3654",2010-04-01,2010-06-30,"Q3",2010-09-30,3.5013698630137,"Facilities and Construction","Military
Health","YOUNG",1.84852374839538e-06,6.8034657689588e-05
"3655",2010-08-01,2010-09-30,"Q4",2010-09-30,3.83561643835616,"Facilities and Construction","Military
Health","YOUNG",0,6.91129632094853e-05
"3656",2010-03-01,2010-03-31,"Q2",2010-09-30,3.41643835616438,"Facilities and Construction","Military
Health","YOUNG",-3.53838254172015e-06,-5.63286264441592e-07
"3657",2010-09-01,2010-09-30,"Q4",2010-09-30,3.92054794520548,"Facilities and Construction","Military
Health","YOUNG",1.20346598202824e-05,2.83209242618742e-06
"3658",2008-10-01,2008-12-31,"Q1",2009-04-26,2.0027397260274,"Facilities and Construction","Military
Health","YOUNG",1.38547304611388e-05,7.45033591323368e-06
"3659",2009-03-01,2009-03-31,"Q2",2009-04-26,2.41643835616438,"Facilities and Construction","Military
Health","YOUNG",1.66016562026413e-05,1.41636821613541e-05
"3660",2009-05-01,2009-06-30,"Q3",2009-09-30,2.58356164383562,"Facilities and Construction","Military
Health","YOUNG",3.24735873565707e-06,1.12345817998124e-05
"3661",2012-01-01,2012-03-31,"Q2",2012-09-30,5.25479452054795,"Facilities and Construction","Military
Health","YOUNG",0.00102286030274946,0.000347569772562586
"3662",2012-02-01,2012-03-31,"Q2",2012-09-30,5.33972602739726,"Facilities and Construction","Military
Health","YOUNG",9.34541241890639e-06,0.000345151024634674
"3663",2012-03-01,2012-03-31,"Q2",2012-09-30,5.41917808219178,"Facilities and Construction","Military
Health","YOUNG",3.45867572855525e-05,0.000355597490817973
"3664",2011-12-01,2011-12-31,"Q1",2012-09-30,5.16986301369863,"Facilities and Construction","Military
Health","YOUNG",0,1.4644056568153e-05
"3665",2012-04-01,2012-06-30,"Q3",2012-09-30,5.5041095890411,"Facilities and Construction","Military
Health","YOUNG",1.98026670785707e-05,1.81298081213744e-05
"3666",2012-08-01,2012-09-30,"Q4",2012-09-30,5.83835616438356,"Facilities and Construction","Military
Health","YOUNG",0,6.60088902619023e-06
"3667",2011-04-01,2011-06-30,"Q3",2011-09-30,4.5013698630137,"Facilities and Construction","Military
Health","YOUNG",-4.85866554762904e-06,4.98133384364722e-06
"3668",2011-08-01,2011-09-30,"Q4",2011-09-30,4.83561643835616,"Facilities and Construction","Military
Health","YOUNG",1.1319775493076e-05,2.15370331514897e-06
"3669",2013-01-01,2013-03-31,"Q2",2013-09-30,6.25753424657534,"Facilities and Construction","Military
Health","YOUNG",0.000264159182390576,9.02067641120076e-05
"3670",2013-06-01,2013-06-30,"Q3",2013-09-30,6.67123287671233,"Facilities and Construction","Military
Health","YOUNG",0.000264159182390576,0.000179879380091409
"3671",2010-11-01,2010-12-31,"Q1",2011-09-30,4.08767123287671,"Facilities and Construction","Military
Health","YOUNG",-1.32204364246748e-05,0.000171699309452159
"3672",2012-09-01,2012-09-30,"Q4",2012-09-30,5.92328767123288,"Facilities and Construction","Military
Health","YOUNG",1.31294408402842e-05,8.80227289353951e-05
"3673",2013-09-01,2013-09-30,"Q4",2013-09-30,6.92328767123288,"Facilities and Construction","Military
Health","YOUNG",0,-3.03318614635216e-08
"3674",2012-10-01,2012-12-31,"Q1",2013-09-30,6.00547945205479,"Facilities and Construction","Military
Health","YOUNG",0.000264159182390576,9.24295410769533e-05
"3675",2013-05-01,2013-06-30,"Q3",2013-09-30,6.58630136986301,"Facilities and Construction","Military
Health","YOUNG",0.000279337693916929,0.000181165625435835
